sentence1,sentence2,label
Tôi rất thích ăn phở.,Phở là món ăn yêu thích của tôi.,0.9
Hôm nay trời đẹp quá.,Thời tiết hôm nay thật tuyệt.,0.8
Tôi đang học lập trình Python.,Tôi đang viết code bằng Python.,0.7
Hà Nội là thủ đô của Việt Nam.,TP Hồ Chí Minh là thành phố lớn nhất Việt Nam.,0.3
Chúng tôi đang đi du lịch ở biển.,Tôi đang đọc một cuốn sách hay.,0.1
Con mèo đang ngủ trên ghế.,Chú mèo đang nằm trên chiếc ghế.,0.9
Cửa hàng mở cửa vào lúc 8 giờ sáng.,Cửa hàng đóng cửa lúc 10 giờ tối.,0.4
Tôi thích nghe nhạc khi làm việc.,Tôi thường nghe nhạc trong lúc làm việc.,0.95
Bạn có thể giúp tôi một chút được không?,Làm ơn giúp tôi việc này.,0.7
Hôm nay tôi phải đi làm sớm.,Tôi không đi làm hôm nay.,0.2
Tôi đã nấu một bữa tối ngon.,Bữa tối hôm nay do tôi nấu rất ngon.,0.9
Chuyến bay của chúng tôi bị hoãn.,Máy bay chúng tôi đặt đã bị trì hoãn.,0.85
Trời đang mưa rất to.,Cơn mưa đang rất lớn.,0.95
Tôi không thích ăn đồ cay.,Tôi thích món ăn cay.,0.2
Hệ điều hành này rất dễ sử dụng.,Phần mềm này có giao diện thân thiện.,0.6
Cô ấy đang học tiếng Anh.,Anh ấy đang học tiếng Pháp.,0.5
Tôi thích đi bơi vào cuối tuần.,Cuối tuần tôi thường đến hồ bơi.,0.9
Giá xăng đã tăng trong tháng này.,Giá dầu đã giảm so với tháng trước.,0.3
Buổi họp sẽ bắt đầu lúc 2 giờ chiều.,Cuộc họp được lên lịch vào 14 giờ.,0.95
Món phở này rất đậm đà.,Tôi thích ăn bún bò Huế.,0.4
Chúng tôi sẽ đi Đà Lạt vào tuần sau.,Tuần tới chúng tôi có kế hoạch đến Đà Lạt.,0.9
Bạn cần phải đăng ký tài khoản trước.,Việc đăng ký tài khoản là bắt buộc.,0.8
Thị trường chứng khoán đang tăng mạnh.,Giá vàng hôm nay giảm nhẹ.,0.1
Cô ấy đã hoàn thành bài tập về nhà.,Cô ấy chưa làm xong bài tập.,0.1
Bộ phim này rất hấp dẫn.,Tôi thấy bộ phim này rất thú vị.,0.85
Trường đại học sẽ đóng cửa vào ngày lễ.,Các trường học sẽ nghỉ vào ngày lễ.,0.75
Tôi cần mua một chiếc máy tính mới.,Tôi đang tìm mua laptop mới.,0.8
Cafe này có không gian rất đẹp.,Nhà hàng này có view nhìn ra biển.,0.3
Xe buýt số 8 đi qua bệnh viện.,Xe buýt số 8 dừng ở trạm gần bệnh viện.,0.7
Tôi đã đọc cuốn sách này rồi.,Tôi chưa bao giờ đọc cuốn sách đó.,0.0
Chiếc điện thoại này có camera rất tốt.,Máy ảnh trên điện thoại này chụp rất đẹp.,0.9
Tôi làm việc từ thứ Hai đến thứ Sáu.,Tôi nghỉ làm vào cuối tuần.,0.6
Nhà hàng này phục vụ các món ăn Nhật Bản.,Đây là một nhà hàng chuyên đồ ăn Hàn Quốc.,0.4
Hôm nay tôi cảm thấy không khỏe.,Tôi đang bị ốm và cần nghỉ ngơi.,0.8
Xe đạp của tôi bị hỏng phanh.,Tôi cần mua một chiếc xe máy mới.,0.3
Cô ấy thích uống trà vào buổi sáng.,Mỗi sáng cô ấy đều pha một tách trà.,0.9
Chúng tôi sẽ tổ chức tiệc sinh nhật vào tối nay.,Bữa tiệc sinh nhật được tổ chức vào tối nay.,0.95
Việt Nam là một quốc gia ở Đông Nam Á.,Brazil nằm ở châu Mỹ Latinh.,0.1
